Arena,Criticality,Severity
Perform Tire Rotation and wheel balance,2,6
Replace remote battery,3,5
Install Washer solvent,1,1
Set tire pressures,5,8
Install Premium Fuel Treatment,2,1
Perform Cabin Air Filter Vent Cleaning Service,1,2
Headlamp restoration,6,9
Perform Crankcase Service,8,9
Replace Engine and Cabin Air Filters,3,4
Fuel Induction Service,2,2
Brake Fluid Exchange,9,10
Throttle Body Service,2,1
Oil Change - Synthetic Oil,4,5
Replace front brake pads,10,10
"Inspect rotors, calipers and brake lines",2,3
Resurface front rotors ,6,7
Power Steering Fluid Exchange,9,8
Engine Coolant Fluid Exchange,9,8
Anti Squeak Brake Service,9,10
Battery Maintenance Service,2,3
Battery Replacement,8,10
Evac and Recharge A/C,7,7
Evaporator Cleaning Service,2,3
Front and Rear Differential Service,3,6
Install Nitrogen into all Tires,2,2
Steering Diagnosis and Repair,5,7
Suspension repair,6,6
Rear and Front Axle repair,9,9
Heating - A/C repair,5,6
Exhaust repair,4,6
Engine repair,10,10
Brake System repair,10,10
Air Bag Repair,10,10
Replace wiper blades,1,5
Replace timing Belt,9,10
Replace one or more bulbs,5,5
Replace fuel filter,2,1
Replace front brakes,10,10
Replace rear brakes,10,10
Replace cabin air filter,5,2
